1,TCEHY,Tencent Holdings Limited,575.95B,64.05,-0.90%,93.82B,2025-06-20
2,TCTZF,Tencent Holdings Limited,575.95B,62.75,-3.46%,93.82B,2025-06-20
3,IDCBF,Industrial and Commercial Bank of China Limited,340.49B,0.750,-3.85%,90.66B,2025-06-20
4,IDCBY,Industrial and Commercial Bank of China Limited,340.49B,15.75,2.34%,90.66B,2025-06-20
5,NONOF,Novo Nordisk A/S,333.14B,73.00,-2.86%,43.92B,2025-06-20
6,SAPGF,SAP SE,331.45B,289.70,-0.75%,37.99B,2025-06-20
7,ASMLF,ASML Holding N.V.,294.56B,746.16,-1.26%,33.27B,2025-06-20
8,SSNLF,"Samsung Electronics Co., Ltd.",281.73B,42.33,9.01%,209.21B,2025-06-20
9,ACGBF,Agricultural Bank of China Limited,276.40B,0.603,-5.81%,79.77B,2025-06-20
10,ACGBY,Agricultural Bank of China Limited,276.40B,17.67,0.17%,79.77B,2025-06-20
11,BABAF,Alibaba Group Holding Limited,270.81B,14.15,-3.29%,137.30B,2025-06-20
12,HESAF,Hermès International Société en commandite par actions,267.69B,"2,585.10",-1.69%,15.71B,2025-06-20
13,HESAY,Hermès International Société en commandite par actions,267.69B,258.88,-0.81%,15.71B,2025-06-20
14,LVMHF,"LVMH Moët Hennessy - Louis Vuitton, Société Européenne",259.16B,519.18,-2.96%,87.67B,2025-06-20
15,LVMUY,"LVMH Moët Hennessy - Louis Vuitton, Société Européenne",259.16B,103.50,-2.59%,87.67B,2025-06-20
16,NSRGF,Nestlé S.A.,259.11B,100.05,-1.48%,101.22B,2025-06-20
17,NSRGY,Nestlé S.A.,259.11B,100.13,-1.43%,101.22B,2025-06-20
18,RHHBF,Roche Holding AG,254.63B,340.41,-0.68%,68.85B,2025-06-20
19,RHHBY,Roche Holding AG,254.63B,39.45,-0.43%,68.85B,2025-06-20
20,RHHVF,Roche Holding AG,254.63B,317.87,-0.20%,68.85B,2025-06-20
21,CICHF,China Construction Bank Corporation,241.40B,0.977,-0.31%,82.49B,2025-06-20
22,CICHY,China Construction Bank Corporation,241.40B,19.65,1.37%,82.49B,2025-06-20
23,BACHF,Bank of China Limited,233.91B,0.612,5.57%,74.11B,2025-06-20
24,BACHY,Bank of China Limited,233.91B,14.46,-0.10%,74.11B,2025-06-20
25,NVSEF,Novartis AG,227.73B,116.13,-2.56%,53.22B,2025-06-20
26,PCCYF,PetroChina Company Limited,226.65B,0.850,-3.30%,396.65B,2025-06-20
27,TOYOF,Toyota Motor Corporation,223.78B,18.30,0.55%,320.78B,2025-06-20
28,LRLCF,L'Oréal S.A.,222.79B,421.99,-0.94%,45.02B,2025-06-20
29,LRLCY,L'Oréal S.A.,222.79B,84.00,-0.73%,45.02B,2025-06-20
30,AZNCF,AstraZeneca PLC,219.65B,149.39,1.01%,54.98B,2025-06-20
31,RYDAF,Shell plc,214.54B,36.18,0.12%,281.07B,2025-06-20
32,HBCYF,HSBC Holdings plc,201.31B,11.77,-0.85%,57.99B,2025-06-20
33,CBAUF,Commonwealth Bank of Australia,196.96B,114.05,1.67%,16.54B,2025-06-20
34,CMWAY,Commonwealth Bank of Australia,196.96B,118.08,0.66%,16.54B,2025-06-20
35,SIEGY,Siemens Aktiengesellschaft,185.84B,120.85,-0.22%,84.11B,2025-06-20
36,SMAWF,Siemens Aktiengesellschaft,185.84B,243.00,-,84.11B,2025-06-20
37,XIACF,Xiaomi Corporation,175.54B,6.87,1.03%,55.36B,2025-06-20
