No.,Exchange,Symbol,Company Name,Market Cap,Stock Price,% Change,Revenue,Date
1,OTC,otc/TCEHY,Tencent Holdings Limited,788157343873.0,86.15,-1.26,98294899349.0,2025-10-07
2,OTC,otc/TCTZF,Tencent Holdings Limited,788157343873.0,86.475,-1.17,98294899349.0,2025-10-07
3,OTC,otc/BABAF,Alibaba Group Holding Limited,418016803358.0,22.824,-3.29,139697227719.0,2025-10-07
4,OTC,otc/SSNLF,"Samsung Electronics Co., Ltd.",412038215301.0,42.33,9.008,228017196254.0,2025-10-07
5,OTC,otc/ASMLF,ASML Holding N.V.,395491116601.0,996.586,-5.55,37684007034.0,2025-10-07
6,OTC,otc/IDCBF,Industrial and Commercial Bank of China Limited,339594361612.0,0.7676,-0.57,92865797476.0,2025-10-07
7,OTC,otc/IDCBY,Industrial and Commercial Bank of China Limited,339594361612.0,14.46,-0.28,92865797476.0,2025-10-07
8,OTC,otc/LVMHF,"LVMH Moët Hennessy - Louis Vuitton, Société Européenne",324890963547.0,650.3235,0.91,97258954789.0,2025-10-07
9,OTC,otc/LVMUY,"LVMH Moët Hennessy - Louis Vuitton, Société Européenne",324890963547.0,130.15,0.22,97258954789.0,2025-10-07
10,OTC,otc/SAPGF,SAP SE,319459554092.0,272.24,-0.64,42145625368.0,2025-10-07
11,OTC,otc/ACGBF,Agricultural Bank of China Limited,319372839421.0,0.63,-12.72,81838130596.0,2025-10-07
12,OTC,otc/ACGBY,Agricultural Bank of China Limited,319372839421.0,16.46,-0.12,81838130596.0,2025-10-07
13,OTC,otc/RHHVF,Roche Holding AG,311351606116.0,362.852,0.56,79831002933.0,2025-10-07
14,OTC,otc/RHHBY,Roche Holding AG,310660364396.0,45.14,-0.49,79831002933.0,2025-10-07
15,OTC,otc/RHHBF,Roche Holding AG,310585619733.0,386.0,-0.26,79831002933.0,2025-10-07
16,OTC,otc/NONOF,Novo Nordisk A/S,269408824781.0,59.01,-2.18,49108936497.0,2025-10-07
17,OTC,otc/AZNCF,AstraZeneca PLC,266442200263.0,170.0,-1.33,56501000000.0,2025-10-07
18,OTC,otc/TOYOF,Toyota Motor Corporation,260695427452.0,19.8,2.33,335829610925.0,2025-10-07
19,OTC,otc/HESAF,Hermès International Société en commandite par actions,258820000756.0,2497.25,2.65,18438050500.0,2025-10-07
20,OTC,otc/HESAY,Hermès International Société en commandite par actions,258820000756.0,245.28,0.61,18438050500.0,2025-10-07
21,OTC,otc/CTATF,"Contemporary Amperex Technology Co., Limited",258425102273.0,75.75,-3.87,52225351486.0,2025-10-07
22,OTC,otc/CYATY,"Contemporary Amperex Technology Co., Limited",258425102273.0,19.0,-0.94,52225351486.0,2025-10-07
23,OTC,otc/NVSEF,Novartis AG,255345652149.0,128.767,-2.75,55186000000.0,2025-10-07
24,OTC,otc/CICHF,China Construction Bank Corporation,250837962562.0,0.90392,-6.19,83607303381.0,2025-10-07
25,OTC,otc/CICHY,China Construction Bank Corporation,250837962562.0,18.72,-0.37,83607303381.0,2025-10-07
26,OTC,otc/HBCYF,HSBC Holdings plc,245367699037.0,14.0,-1.03,56208000000.0,2025-10-07
27,OTC,otc/NSRGF,Nestlé S.A.,240378229144.0,92.25,-1.35,114298108865.0,2025-10-07
28,OTC,otc/NSRGY,Nestlé S.A.,240378229144.0,93.07,-0.17,114298108865.0,2025-10-07
29,OTC,otc/LRLCY,L'Oréal S.A.,236042912627.0,88.16,0.4,51484791546.0,2025-10-07
30,OTC,otc/LRLCF,L'Oréal S.A.,233538631491.0,435.04,-1.25,51484791546.0,2025-10-07
31,OTC,otc/SIEGY,Siemens Aktiengesellschaft,219361116486.0,141.02,-1.34,91955372874.0,2025-10-07
32,OTC,otc/SMAWF,Siemens Aktiengesellschaft,219361116486.0,282.85,-0.34,91955372874.0,2025-10-07
33,OTC,otc/BACHF,Bank of China Limited,218737136528.0,0.5462,-0.62,76387950524.0,2025-10-07
34,OTC,otc/BACHY,Bank of China Limited,218737136528.0,13.4,-0.37,76387950524.0,2025-10-07
35,OTC,otc/RYDAF,Shell plc,216995965331.0,37.08,1.38,272011000000.0,2025-10-07
36,OTC,otc/PCCYF,PetroChina Company Limited,202629336037.0,0.91,-0.41,395475445967.0,2025-10-07
37,OTC,otc/SFTBF,SoftBank Group Corp.,199619662967.0,137.4,-3.92,51029598101.0,2025-10-07
38,OTC,otc/SFTBY,SoftBank Group Corp.,198214323802.0,68.85,-3.72,51029598101.0,2025-10-07
39,OTC,otc/EADSF,Airbus SE,186993860337.0,236.846,-0.09,82225484442.0,2025-10-07
40,OTC,otc/EADSY,Airbus SE,186993860337.0,58.89,-0.45,82225484442.0,2025-10-07
41,OTC,otc/CBAUF,Commonwealth Bank of Australia,186668882831.0,107.4,0.0,18071199116.0,2025-10-07
42,OTC,otc/CMWAY,Commonwealth Bank of Australia,186668882831.0,111.8,-0.58,18071199116.0,2025-10-07
43,OTC,otc/XIACF,Xiaomi Corporation,180065979185.0,6.91,-0.86,59851074566.0,2025-10-07
44,OTC,otc/XIACY,Xiaomi Corporation,180065979185.0,34.59,-0.75,59851074566.0,2025-10-07
45,OTC,otc/SNEJF,Sony Group Corporation,177848392368.0,30.49,-3.05,90197389189.0,2025-10-07
46,OTC,otc/IDEXY,"Industria de Diseño Textil, S.A.",177242762931.0,14.21,0.35,44525280255.0,2025-10-07
47,OTC,otc/IDEXF,"Industria de Diseño Textil, S.A.",176328409720.0,58.135,1.51,44525280255.0,2025-10-07
48,OTC,otc/MBFJF,"Mitsubishi UFJ Financial Group, Inc.",172699495416.0,15.35,-3.0,37710895911.0,2025-10-07
49,OTC,otc/DTEGF,Deutsche Telekom AG,161955741898.0,34.07,0.28,141578391079.0,2025-10-07
50,OTC,otc/DTEGY,Deutsche Telekom AG,161872188398.0,33.78,-0.53,141578391079.0,2025-10-07
51,OTC,otc/ALIZF,Allianz SE,161731298394.0,425.0,-0.01,128032883151.0,2025-10-07
52,OTC,otc/ALIZY,Allianz SE,161731298394.0,42.33,-0.63,128032883151.0,2025-10-07
53,OTC,otc/SBGSF,Schneider Electric S.E.,161612576852.0,292.1,-0.65,46172636525.0,2025-10-07
54,OTC,otc/SBGSY,Schneider Electric S.E.,161612576852.0,57.2,-2.44,46172636525.0,2025-10-07
55,OTC,otc/PROSY,Prosus N.V.,159430457946.0,14.33,-0.42,6170000000.0,2025-10-07
56,OTC,otc/PROSF,Prosus N.V.,159324074872.0,71.9469,-0.074,6170000000.0,2025-10-07
57,OTC,otc/ESLOF,EssilorLuxottica Société anonyme,148782562962.0,319.0,-2.39,31992953612.0,2025-10-07
58,OTC,otc/ESLOY,EssilorLuxottica Société anonyme,148782562962.0,160.61,-1.1,31992953612.0,2025-10-07
59,OTC,otc/BCDRF,"Banco Santander, S.A.",148659134212.0,10.14,-0.88,58905460953.0,2025-10-07
60,OTC,otc/UNLYF,Unilever PLC,145801937676.0,57.11,-4.95,70194950090.0,2025-10-07
61,OTC,otc/SAFRF,Safran SA,145684074455.0,350.62,1.3,34500293601.0,2025-10-07
62,OTC,otc/SAFRY,Safran SA,145684074455.0,86.9,-0.45,34500293601.0,2025-10-07
63,OTC,otc/CIHHF,"China Merchants Bank Co., Ltd.",144684320249.0,5.95,0.0,40997375692.0,2025-10-07
64,OTC,otc/CIHKY,"China Merchants Bank Co., Ltd.",144684320249.0,29.73,-0.67,40997375692.0,2025-10-07
65,OTC,otc/BHPLF,BHP Group Limited,140472727239.0,28.0,0.0,51262000000.0,2025-10-07
66,OTC,otc/CILJF,China Life Insurance Company Limited,136852237517.0,2.93,3.53,43839163570.0,2025-10-07
67,OTC,otc/BYDDF,BYD Company Limited,134346811723.0,13.9,-0.63,118269171382.0,2025-10-07
68,OTC,otc/BYDDY,BYD Company Limited,134346811723.0,13.81,-1.22,118269171382.0,2025-10-07
69,OTC,otc/HTHIF,"Hitachi, Ltd.",134282334133.0,29.73,2.96,68135188076.0,2025-10-07
70,OTC,otc/HTHIY,"Hitachi, Ltd.",134282334133.0,29.48,-1.73,68135188076.0,2025-10-07
71,OTC,otc/ABBNY,ABB Ltd,133506692488.0,73.09,-1.03,33576000000.0,2025-10-07
72,OTC,otc/ABLZF,ABB Ltd,133506692488.0,74.22,-0.76,33576000000.0,2025-10-07
73,OTC,otc/PIAIF,"Ping An Insurance (Group) Company of China, Ltd.",133299024590.0,6.37,-2.0,133154331492.0,2025-10-07
