Exchange Name,Country,Code,Currency,Stocks,Date of Collection
US OTC,United States,OTC,USD,9516,2025-06-17
Bombay Stock Exchange,India,BOM,INR,4336,2025-06-17
Tokyo Stock Exchange,Japan,TYO,JPY,3884,2025-06-17
London Stock Exchange,United Kingdom,LON,GBP,3457,2025-06-17
Nasdaq Stock Market,United States,NASDAQ,USD,3323,2025-06-17
Shenzhen Stock Exchange,China,SHE,CNY,2862,2025-06-17
Hong Kong Stock Exchange,Hong Kong,HKG,HKD,2617,2025-06-17
National Stock Exchange of India,India,NSE,INR,2608,2025-06-17
Shanghai Stock Exchange,China,SHA,CNY,2272,2025-06-17
New York Stock Exchange,United States,NYSE,USD,1937,2025-06-17
Frankfurt Stock Exchange,Germany,FRA,EUR,1808,2025-06-17
Australian Securities Exchange,Australia,ASX,AUD,1786,2025-06-17
KOSDAQ,South Korea,KOSDAQ,KRW,1662,2025-06-17
TSX Venture Exchange,Canada,TSXV,CAD,1453,2025-06-17
Borsa Italiana,Italy,BIT,EUR,1173,2025-06-17
Taipei Exchange,Taiwan,TPEX,TWD,1112,2025-06-17
Taiwan Stock Exchange,Taiwan,TPE,TWD,1051,2025-06-17
Bursa Malaysia,Malaysia,KLSE,MYR,1041,2025-06-17
Stock Exchange of Thailand,Thailand,BKK,THB,905,2025-06-17
Indonesia Stock Exchange,Indonesia,IDX,IDR,892,2025-06-17
Korea Stock Exchange,South Korea,KRX,KRW,839,2025-06-17
Deutsche Börse Xetra,Germany,ETR,EUR,819,2025-06-17
Nasdaq Stockholm,Sweden,STO,SEK,777,2025-06-17
Euronext Paris,France,EPA,EUR,756,2025-06-17
Warsaw Stock Exchange,Poland,WSE,PLN,719,2025-06-17
Toronto Stock Exchange,Canada,TSX,CAD,711,2025-06-17
London Stock Exchange AIM,United Kingdom,AIM,GBP,643,2025-06-17
Canadian Securities Exchange,Canada,CSE,CAD,639,2025-06-17
Istanbul Stock Exchange,Turkey,IST,TRY,584,2025-06-17
Mexican Stock Exchange,Mexico,BMV,MXN,572,2025-06-17
Tel Aviv Stock Exchange,Israel,TLV,ILS,483,2025-06-17
Pakistan Stock Exchange,Pakistan,PSX,PKR,476,2025-06-17
Singapore Exchange,Singapore,SGX,SGD,383,2025-06-17
Ho Chi Minh Stock Exchange,Vietnam,HOSE,VND,379,2025-06-17
Dhaka Stock Exchange,Bangladesh,DSE,BDT,356,2025-06-17
Saudi Stock Exchange,Saudi Arabia,TADAWUL,SAR,351,2025-06-17
Brazil Stock Exchange,Brazil,BVMF,BRL,340,2025-06-17
Oslo Børs,Norway,OSL,NOK,311,2025-06-17
Colombo Stock Exchange,Sri Lanka,COSE,LKR,292,2025-06-17
Philippine Stock Exchange,Philippines,PSE,PHP,276,2025-06-17
Johannesburg Stock Exchange,South Africa,JSE,ZAR,271,2025-06-17
Hanoi Stock Exchange,Vietnam,HNX,VND,247,2025-06-17
Madrid Stock Exchange,Spain,BME,EUR,243,2025-06-17
NYSE American,United States,AMEX,USD,232,2025-06-17
SIX Swiss Exchange,Switzerland,SWX,CHF,231,2025-06-17
Egyptian Stock Exchange,Egypt,EGX,EGP,212,2025-06-17
Nasdaq Helsinki,Finland,HEL,EUR,188,2025-06-17
Moscow Stock Exchange,Russia,MOEX,RUB,186,2025-06-17
Bucharest Stock Exchange,Romania,BVB,RON,179,2025-06-17
Copenhagen Stock Exchange,Denmark,CPH,DKK,160,2025-06-17
Singapore Exchange - Catalist,Singapore,SGXC,SGD,160,2025-06-17
Santiago Stock Exchange,Chile,SNSE,CLP,154,2025-06-17
Nordic Growth Market,Sweden,NGM,SEK,144,2025-06-17
Nigerian Stock Exchange,Nigeria,NGX,NGN,144,2025-06-17
